form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,analysis_tag,overabundance_tag,source,page,language_id
komkakchingmantak018,mudang,1.pl.excl.2.sg.fut.aff,na-mudang-sik-kinni,na-Σ-sik-kinni,na+Σ+sik+ki+n+ni,n a Σ s i k k i n n i,n a + Σ + s i k + k i + n + n i,unspecified,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak019,mudang,1.pl.excl.2.pl.fut.aff,mudang-sik-kanni,Σ-sik-kanni,Σ+sik+ka+n+ni,Σ s i k k a n n i,Σ + s i k + k a + n + n i,sociolect_var,,optional_sap_o,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak020,mudang,1.pl.excl.2.pl.fut.aff,na-mudang-sik-kanni,na-Σ-sik-kanni,na+Σ+sik+ka+n+ni,n a Σ s i k k a n n i,n a + Σ + s i k + k a + n + n i,unspecified,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak021,mudang,1.pl.excl.2.pl.fut.aff,na-mudang-sik-kinni,na-Σ-sik-kinni,na+Σ+sik+ki+n+ni,n a Σ s i k k i n n i,n a + Σ + s i k + k i + n + n i,sociolect_var,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak022,mudang,1.sg.3.sg.fut.aff,mudang-sik-kani,Σ-sik-kani,Σ+sik+ka+ni,Σ s i k k a n i,Σ + s i k + k a + n i,unspecified,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak023,mudang,1.sg.3.pl.fut.aff,mudang-sik-kani,Σ-sik-kani,Σ+sik+ka+ni,Σ s i k k a n i,Σ + s i k + k a + n i,unspecified,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak024,mudang,1.pl.excl.3.sg.fut.aff,mudang-sik-kanni,Σ-sik-kanni,Σ+sik+kan+ni,Σ s i k k a n n i,Σ + s i k + k a n + n i,unspecified,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak025,mudang,1.pl.excl.3.sg.fut.aff,mudang-sik-kinni,Σ-sik-kinni,Σ+sik+kin+ni,Σ s i k k i n n i,Σ + s i k + k i n + n i,sociolect_var,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak026,mudang,1.pl.incl.3.sg.fut.aff,mudang-sik-nani,Σ-sik-nani,Σ+sik+na+ni,Σ s i k n a n i,Σ + s i k + n a + n i,unspecified,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak027,mudang,1.pl.incl.3.sg.fut.aff,mudang-sik-nini,Σ-sik-nini,Σ+sik+ni+ni,Σ s i k n i n i,Σ + s i k + n i + n i,unspecified,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak028,mudang,1.pl.excl.3.pl.fut.aff,mudang-sik-kanni,Σ-sik-kanni,Σ+sik+ka+n+ni,Σ s i k k a n n i,Σ + s i k + k a + n + n i,unspecified,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak029,mudang,1.pl.excl.3.pl.fut.aff,mudang-sik-kinni,Σ-sik-kinni,Σ+sik+ki+n+ni,Σ s i k k i n n i,Σ + s i k + k i + n + n i,sociolect_var,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak030,mudang,1.pl.incl.3.pl.fut.aff,mudang-sik-nani,Σ-sik-nani,Σ+sik+na+ni,Σ s i k n a n i,Σ + s i k + n a + n i,unspecified,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak031,mudang,1.pl.incl.3.pl.fut.aff,mudang-sik-nini,Σ-sik-nini,Σ+sik+ni+ni,Σ s i k n i n i,Σ + s i k + n i + n i,sociolect_var,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak032,che,2.sg.fut.aff,che-sik-nani,Σ-sik-nani,Σ+sik+na+ni,Σ s i k n a n i,Σ + s i k + n a + n i,unspecified,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak033,che,2.pl.fut.aff,che-sik-nanni,Σ-sik-nanni,Σ+sik+na+n+ni,Σ s i k n a n n i,Σ + s i k + n a + n + n i,unspecified,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak034,che,2.pl.fut.aff,che-sik-ninni,Σ-sik-ninni,Σ+sik+ni+n+ni,Σ s i k n i n n i,Σ + s i k + n i + n + n i,unspecified,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak035,mudang,2.sg.1.sg.fut.aff,na-mudang-sik-nani,na-Σ-sik-nani,na+Σ+sik+na+ni,n a Σ s i k n a n i,n a + Σ + s i k + n a + n i,unspecified,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak036,mudang,2.sg.1.pl.excl.fut.aff,mudang-sik-nani,Σ-sik-nani,Σ+sik+na+ni,Σ s i k n a n i,Σ + s i k + n a + n i,sociolect_var,,optional_sap_o,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak037,mudang,2.sg.1.pl.excl.fut.aff,na-mudang-sik-nani,na-Σ-sik-nani,na+Σ+sik+na+ni,n a Σ s i k n a n i,n a + Σ + s i k + n a + n i,unspecified,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak038,mudang,2.pl.1.sg.fut.aff,na-mudang-sik-nanni,na-Σ-sik-nanni,na+Σ+sik+na+n+ni,n a Σ s i k n a n n i,n a + Σ + s i k + n a + n + n i,unspecified,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak039,mudang,2.pl.1.sg.fut.aff,na-mudang-sik-ninni,na-Σ-sik-ninni,na+Σ+sik+ni+n+ni,n a Σ s i k n i n n i,n a + Σ + s i k + n i + n + n i,sociolect_var,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak040,mudang,2.pl.1.pl.excl.fut.aff,mudang-sik-nanni,Σ-sik-nanni,Σ+sik+na+n+ni,Σ s i k n a n n i,Σ + s i k + n a + n + n i,sociolect_var,,optional_sap_o,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak041,mudang,2.pl.1.pl.excl.fut.aff,na-mudang-sik-nanni,na-Σ-sik-nanni,na+Σ+sik+na+n+ni,n a Σ s i k n a n n i,n a + Σ + s i k + n a + n + n i,unspecified,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak042,mudang,2.pl.1.pl.excl.fut.aff,na-mudang-sik-ninni,na-Σ-sik-ninni,na+Σ+sik+ni+n+ni,n a Σ s i k n i n n i,n a + Σ + s i k + n i + n + n i,sociolect_var,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak043,mudang,2.sg.3.sg.fut.aff,mudang-sik-nani,Σ-sik-nani,Σ+sik+na+ni,Σ s i k n a n i,Σ + s i k + n a + n i,unspecified,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak044,mudang,2.sg.3.pl.fut.aff,mudang-sik-nani,Σ-sik-nani,Σ+sik+na+ni,Σ s i k n a n i,Σ + s i k + n a + n i,unspecified,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak045,mudang,2.pl.3.sg.fut.aff,mudang-sik-nanni,Σ-sik-nanni,Σ+sik+na+n+ni,Σ s i k n a n n i,Σ + s i k + n a + n + n i,unspecified,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak046,mudang,2.pl.3.sg.fut.aff,mudang-sik-ninni,Σ-sik-ninni,Σ+sik+ni+n+ni,Σ s i k n i n n i,Σ + s i k + n i + n + n i,sociolect_var,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak047,mudang,2.pl.3.pl.fut.aff,mudang-sik-nanni,Σ-sik-nanni,Σ+sik+na+n+ni,Σ s i k n a n n i,Σ + s i k + n a + n + n i,unspecified,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak048,mudang,2.pl.3.pl.fut.aff,mudang-sik-ninni,Σ-sik-ninni,Σ+sik+ni+n+ni,Σ s i k n i n n i,Σ + s i k + n i + n + n i,unspecified,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak049,che,3.sg.fut.aff,che-sik-ani,Σ-sik-ani,Σ+sik+a+ni,Σ s i k a n i,Σ + s i k + a + n i,unspecified,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak050,che,3.sg.fut.aff,che-te,Σ-te,Σ+te,Σ t e,Σ + t e,dialect_var,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak051,che,3.sg.fut.aff,che-sik-ni,Σ-sik-ni,Σ+sik+ni,Σ s i k n i,Σ + s i k + n i,unspecified,,optional_third,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak052,che,3.pl.fut.aff,che-sik-anni,Σ-sik-anni,Σ+sik+an+ni,Σ s i k a n n i,Σ + s i k + a n + n i,unspecified,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak053,che,3.pl.fut.aff,che-an-te,Σ-an-te,Σ+an+te,Σ a n t e,Σ + a n + t e,dialect_var,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak054,mudang,3.sg.1.sg.fut.aff,na-mudang-sik-ni,na-Σ-sik-ni,na+Σ+sik+ni,n a Σ s i k n i,n a + Σ + s i k + n i,unspecified,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak055,mudang,3.sg.1.pl.excl.fut.aff,mudang-sik-ni,Σ-sik-ni,Σ+sik+ni,Σ s i k n i,Σ + s i k + n i,unspecified,,optional_sap_o,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
